nfacture,ref_piece_liste,ref_piece_base,reste_a_payer,facture_soldee,statut,present_en_base
50343,"FA260123 50343","FA260123 50343",35,NON,impaye,OUI
50336,"FA260122 50336","FA260122 50336",1045,NON,impaye,OUI
50340,"FA260122 50340","FA260122 50340",225,NON,impaye,OUI
50335,"FA260122 50335","FA260122 50335",279,NON,impaye,OUI
50331,"FA260121 50331","FA260121 50331",215,NON,impaye,OUI
50332,"FA260121 50332","FA260121 50332",105,NON,impaye,OUI
50314,"FA260120 50314","FA260120 50314",2700,NON,impaye,OUI
50312,"FA260120 50312","FA260120 50312",264,NON,impaye,OUI
50298,"FA260116 50298","FA260116 50298",155,NON,impaye,OUI
50301,"FA260116 50301","FA260116 50301",184,NON,impaye,OUI
50291,"FA260115 50291","FA260115 50291",760,NON,impaye,OUI
50288,"FA260115 50288","FA260115 50288",350,NON,impaye,OUI
50265,"FA260113 50265","FA260113 50265",225,NON,impaye,OUI
50270,"FA260113 50270","FA260113 50270",350,NON,impaye,OUI
50259,"FA260113 50259","FA260113 50259",298.7,NON,impaye,OUI
50253,"FA260112 50253","FA260112 50253",1400,NON,impaye,OUI
50244,"FA260107 50244","FA260107 50244",245,NON,impaye,OUI
50243,"FA260107 50243","FA260107 50243",340,NON,impaye,OUI
50236,"FA260106 50236","FA260106 50236",100,NON,impaye,OUI
50232,"FA260106 50232","FA260106 50232",252,NON,impaye,OUI
50231,"FA260106 50231","FA260106 50231",121.5,NON,impaye,OUI
50203,"FA251230 50203","FA251230 50203",375.2,NON,impaye,OUI
50182,"FA251224 50182","FA251224 50182",4810,NON,impaye,OUI
50180,"FA251224 50180","FA251224 50180",560,NON,impaye,OUI
50184,"FA251224 50184","FA251224 50184",600,NON,impaye,OUI
